product_title,product_price,product_rate,url
راس شاحن ايفون - 20 واط - مدخل تايب سى - ابيض,جنيه 144.43,4.5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/840962/1.jpg?3006
شاحن ايفون سريع - 20 واط + كابل شحن من (تايب سى)الى(ايفون) - ابيض,جنيه 214.13,3.4 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/840962/1.jpg?8139
Samsung شاحن حائط سريع من سامسونج من النوع تايب سى الى تايب سى بقوة 45 وات - أسود,جنيه 565.00,4.2 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/980403/1.jpg?7951
محول تيار شاحن ابل ايفون بقدرة 20 وات ومنفذ USB-C مع كابل شحن ايفون بمنفذ USB-C وجودة اصلية لموبايل ايفون 13/12/11/XS برو ماكس وايباد برو/اير/ميني (كابل شاحن ولايتينج),جنيه 625.00,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/598133/1.jpg?2108
راس شاحن سريع 45 واط - بمنفذين (يو اس بى) و(تايب سى) يدعم هواتف السامسونج والاوبو والشاومى والهواوى والانفينكس,جنيه 249.48,4.6 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/932462/1.jpg?7907
Samsung شاحن سريع سامسونج 25 وات,جنيه 449.00,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/986174/1.jpg?2055
شاحن سريع (22.5 واط) + كابل شحن وبيانات سريع من (يو اس بى) الى (تايب سى) 6 امبير,جنيه 174.73,4 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/256844/1.jpg?1941
XO XO-L78 Fast Charging Adapter 2.4 A Dual USB (2 Ports) With Micro USB Cable EU Set - White,جنيه 129.00,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/505862/1.jpg?4250
Samsung شاحن سريع سامسونج 25 وات,جنيه 399.00,4.5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/569474/1.jpg?9442
شاحن ايفون سريع بسرعه 20 وات لهاتف ايفون 12 برو ماكس رأس شاحن تايب سي + كابل ايفون - تايب سي,جنيه 269.68,4.5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/336932/1.jpg?9643
Anker GaNPrime - 735 Charger (GaNPrime 65W) - A2668311 - Black,"جنيه 1,799.90",4.8 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/068354/1.jpg?6294
شاحن ايفون فاست 20 واط + كابل الشحن - لجميع هواتف ايفون الحديثة,جنيه 179.78,3.6 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/360242/1.jpg?3823
راس شاحن ايفون - 20 واط - مدخل تايب سى - ابيض,جنيه 179.78,4.3 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/296574/1.jpg?1968
Aspor A 829 Fast Charger – Micro USB - White,جنيه 75.00,4.1 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/006171/1.jpg?9889
Energizer Power Delivery Charger - 20W - USB-C Cable Included - EU / UK / US,جنيه 399.00,4.8 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/492822/1.jpg?4514
Samsung أدابتور منزلي 65 وات باور تريو يو اس بي سي مخرجين و يو اس بي ايه عادى مخرج واحد - اسود,"جنيه 1,919.90",4.5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/467272/1.jpg?3369
Ugreen 65W USB C Charger EU Plug 4-Port GaN Type C Fast Charging Wall Adapter,"جنيه 1,519.00",5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/798523/1.jpg?9357
شاحن ايفون 13 برو ماكس سريع - 20 واط + كابل شحن من (تايب سى)الى(ايفون),جنيه 199.98,2.3 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/201903/1.jpg?9646
Earldom شاحن 2.4 أمبير عدد 2 مخرج يواس بي وسوكت شحن ميكرو,جنيه 125.00,3.5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/011932/1.jpg?3322
شاحن ايفون سريع 20 واط + كابل من تايب سى الى ايفون - لجميع هواتف ايفون,جنيه 248.47,3.7 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/655042/1.jpg?5110
Denmen مجموعة شحن السفر المقاومة للانفجار DC01T ، ومحول وكابل من أجل Type-C,جنيه 75.00,1 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/257052/1.jpg?1014
Samsung شاحن منزلي سامسونج 45 وات باور مع كابل من نوع تايب سي الى تايب سي 1.8 متر - اسود,"جنيه 1,599.90",5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/855372/1.jpg?1833
Anker Charger Nano II 65W - Faster And Smaller For Haheld Devices And Notebooks -A2663l11- Black,"جنيه 1,599.90",5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/292364/1.jpg?0104
JOYROOM شاحن سطح المكتب بقوة 65 وات من جوي روم يدعم الشحن السريع متعدد الاستخدمات لون اسود,"جنيه 1,250.00",5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/922774/1.jpg?1824
Aspor A 833 Charger With Micro USB Cable - White,جنيه 99.00,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/140471/1.jpg?9985
شاحن حائط سريع من سامسونج من النوع تايب سى الى تايب سى بقوة 25 وات - أسود,جنيه 499.00,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/710284/1.jpg?7836
شاحن ايفون ثلاثي 5 واط + كابل الشحن من (يو اس بى)الى(ايفون),جنيه 139.38,4 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/549762/1.jpg?6919
Aspor A 829 Fast Charger – Iphone - White,جنيه 75.00,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/006171/1.jpg?9890
Ugreen QC 3.0 18W USB Charger Adapter Fast Wall Charger EU Plug,جنيه 489.00,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/460623/1.jpg?3374
